Domain,Activity / Skill,Level 0 (Bottom 50%),Level 1 (Top 25%),Level 2 (Top 5%),Level 3 (Top 0.1%),Your Level (0-3),Your Objective Metric
8. Social & Influence Capital,Network Reach,< 500 connections,5,000+ organic reach,100,000+ engaged,Global thought leader (Millions),,
8. Social & Influence Capital,Algorithmic Virality,< 100 views/post,Consistent 10k+ views,Multiple 1M+ views,Controls global narrative shifts,,
8. Social & Influence Capital,Public Speaking,Severe anxiety/Avoidance,Confident 50-person pitch,Keynote at major event,TED Mainstage / Global Broadcast,,
8. Social & Influence Capital,Negotiation (Deal Size),MSRP consumer,Closed $50k B2B/B2C deal,Closed $1M+ contract,Orchestrated $100M+ M&A,,
8. Social & Influence Capital,Political/Social Capital,Does not vote,Local community leader,Influences state law,Head of State / Global Policy,,
8. Social & Influence Capital,Dispute Resolution,Escalates to anger/lawsuit,De-escalates personal,Corporate Arbitrator,International Hostage Negotiator,,
9. Artistic & Sensory Fidelity,Music (Instrumental),Cannot play an instrument,Grade 3 (Basic Chords),Grade 8 (Advanced),Concert Soloist / Virtuoso,,
9. Artistic & Sensory Fidelity,Audio Engineering,Listens on AirPods,Mixes local band demo,Platinum record mastering,Grammy-winning Producer,,
9. Artistic & Sensory Fidelity,Culinary Arts,Burns water / Microwave,3-course dinner party,Michelin-level execution,Michelin-starred Chef / Innovator,,
9. Artistic & Sensory Fidelity,Visual Arts (Drawing/Art),Stick figures,Accurate proportions,Hyper-realism / Gallery,Globally recognized unique style,,
9. Artistic & Sensory Fidelity,Photography / Cinema,Smartphone auto-mode,Manual exposure mastery,Sundance / Magnum pub,Oscar Winner / Generational eye,,
9. Artistic & Sensory Fidelity,Written Rhetoric,Poor grammar/syntax,Published article/blog,Bestselling Book,Pulitzer / Generational impact,,
9. Artistic & Sensory Fidelity,Dance / Somatic Art,Off-beat/Stiff,Competent social dancer,Professional company,Prima Ballerina / Global Choreo,,
10. Metacognitive & Strategic (Game Theory),Skill Acquisition Rate,Years to learn basics,6 months to L1,1 month to L1,< 1 week to L1 (Pattern mapping),,
10. Metacognitive & Strategic (Game Theory),Prediction (Brier Score),Worse than random,0.20 (Avg Forecaster),0.10 (Superforecaster),0.01 (Near-perfect calibration),,
10. Metacognitive & Strategic (Game Theory),Crisis Execution,Panic / Complete freeze,Performance degrades <20%,Baseline maintained,Performance increases under threat,,
10. Metacognitive & Strategic (Game Theory),Poker (No-Limit Hold'em),Loses to rake,Winning micro-stakes,$50/hr+ win rate,WSOP Bracelet / High Roller,,
10. Metacognitive & Strategic (Game Theory),E-Sports (RTS/MOBA),Casual/Bronze tier,Top 25% (Plat/Diamond),Top 1% (GM/Immortal),Tier 1 Touring Professional,,
10. Metacognitive & Strategic (Game Theory),Strategy Board Games,Loses at Monopoly,Wins local Catan,Regional Champion,Global World Champion,,
10. Metacognitive & Strategic (Game Theory),Zero-Sum Tournament,Eliminated round 1,Top 25% local finish,Top 5% regional finish,National/World Champion,,
11. Psychological & Emotional Regulation,Biofeedback (Heart Rate),Cannot control spikes,Consciously lower by 10%,Drop 30% via Meditation,Conscious control of core temp,,
11. Psychological & Emotional Regulation,Sleep Architecture,Insomniac / Needs pills,7hrs / 15% Deep sleep,8hrs / 25%+ Deep/REM,Polyphasic mastery without decay,,
11. Psychological & Emotional Regulation,Isolation Tolerance,Anxious alone for 24h,1-week solo camping,30-day silent retreat,Prolonged solitary confinement,,
11. Psychological & Emotional Regulation,Pain Tolerance (Cold),Removes hand < 30s,Sustains 2 minutes,Sustains 5 minutes,Conscious dissociation / Max limit,,
11. Psychological & Emotional Regulation,Pressure Resistance,Crumbles under mild Qs,Maintains narrative,SERE School Graduate,Defeats polygraph/chemical limits,,
12. Linguistic & Information Transfer,Languages Spoken,1 (Monolingual),2 (B1+ Conversational),3-4 (C1 Fluent),5+ (C2 Native/Literary),,
12. Linguistic & Information Transfer,Simultaneous Translation,Needs translation app,Fluent bilingual shift,UN-level real-time,4+ languages real-time synthesis,,
12. Linguistic & Information Transfer,Persuasive Copywriting,Boring emails,Converts at 2% (Avg),Converts at 10%+,Generates $100M+ in written sales,,
12. Linguistic & Information Transfer,Debate / Rhetoric,Ad hominem attacks,High school debate team,Oxford Union debater,Alters historical paradigms,,
12. Linguistic & Information Transfer,Data Input (Typing),< 40 WPM (Hunt & peck),80 WPM (Touch typing),130 WPM (Top tier),200+ WPM / Professional Stenography,,
12. Linguistic & Information Transfer,Non-Verbal Decoding,Oblivious to micro-cues,Reads obvious posture,Active interrogation prep,Paul Ekman predictive profiling,,
